session,id,scale,begin,end,score
20210105_01,3,1,00:00:00,00:00:05,4
20210105_01,3,1,00:00:05,00:00:13,5
20210105_01,3,1,00:00:13,00:00:20,4
20210105_01,3,1,00:00:20,00:00:26,5
20210105_01,3,1,00:00:26,00:00:28,4
20210105_01,3,1,00:00:28,00:00:32,5
20210105_01,3,1,00:00:32,00:01:26,4
20210105_01,3,1,00:01:26,00:01:29,5
20210105_01,3,1,00:01:29,00:02:01,4
20210105_01,3,1,00:02:01,00:02:07,5
20210105_01,3,1,00:02:07,00:03:29,4
20210105_01,3,1,00:03:29,00:03:50,5
20210105_01,3,1,00:03:50,00:04:30,3
20210105_01,3,1,00:04:30,00:04:36,4
20210105_01,3,1,00:04:36,00:04:53,3
20210105_01,3,1,00:04:53,00:04:55,5
20210105_01,3,1,00:04:55,00:05:03,4
20210105_01,3,1,00:05:03,00:05:07,3
20210105_01,3,1,00:05:07,00:05:26,4
20210105_01,3,1,00:05:26,00:05:31,5
20210105_01,3,1,00:05:31,00:05:51,4
20210105_01,3,1,00:05:51,00:05:58,5
20210105_01,3,1,00:05:58,00:07:03,4
20210105_01,3,1,00:07:03,00:07:42,3
20210105_01,3,1,00:07:42,00:07:47,4
20210105_01,3,1,00:07:47,00:08:30,3
20210105_01,3,1,00:08:30,00:08:34,5
20210105_01,3,1,00:08:34,00:09:07,4
20210105_01,3,1,00:09:07,00:09:44,5
20210105_01,3,1,00:09:44,00:10:41,3
20210105_01,3,2,00:00:00,00:05:04,5
20210105_01,3,2,00:05:04,00:05:08,4
20210105_01,3,2,00:05:08,00:10:41,5
20210105_01,3,3,00:00:00,00:00:06,5
20210105_01,3,3,00:00:06,00:00:23,4
20210105_01,3,3,00:00:23,00:05:04,5
20210105_01,3,3,00:05:04,00:05:08,4
20210105_01,3,3,00:05:08,00:10:41,5
20210105_02,1,1,00:00:00,00:05:46,4
20210105_02,1,1,00:05:46,00:10:10,5
20210105_02,1,1,00:10:10,00:13:35,4
20210105_02,1,1,00:13:35,00:14:31,4
20210105_02,1,2,00:00:00,00:03:06,4
20210105_02,1,2,00:03:06,00:04:02,3
20210105_02,1,2,00:04:02,00:04:55,5
20210105_02,1,2,00:04:55,00:05:00,3
20210105_02,1,2,00:05:00,00:13:35,5
20210105_02,1,2,00:13:35,00:14:31,4
20210105_02,1,3,00:00:00,00:02:39,4
20210105_02,1,3,00:02:39,00:05:46,3
20210105_02,1,3,00:05:46,00:13:35,5
20210105_02,1,3,00:13:35,00:14:10,4
20210105_02,1,3,00:14:10,00:14:31,3
20210105_03,4,1,00:00:00,00:00:27,3
20210105_03,4,1,00:00:27,00:02:32,4
20210105_03,4,1,00:02:32,00:02:46,5
20210105_03,4,1,00:02:46,00:03:22,4
20210105_03,4,1,00:03:22,00:03:41,5
20210105_03,4,1,00:03:41,00:04:05,4
20210105_03,4,1,00:04:05,00:04:09,5
20210105_03,4,1,00:04:09,00:07:08,4
20210105_03,4,1,00:07:08,00:07:30,5
20210105_03,4,1,00:07:30,00:11:04,4
20210105_03,4,2,00:00:00,00:11:04,5
20210105_03,4,3,00:00:00,00:00:23,3
20210105_03,4,3,00:00:23,00:05:56,5
20210105_03,4,3,00:05:56,00:07:01,3
20210105_03,4,3,00:07:01,00:07:08,4
20210105_03,4,3,00:07:08,00:08:11,5
20210105_03,4,3,00:08:11,00:08:32,4
20210105_03,4,3,00:08:32,00:09:02,5
20210105_03,4,3,00:09:02,00:09:44,3
20210105_03,4,3,00:09:44,00:09:55,4
20210105_03,4,3,00:09:55,00:11:04,5
20210105_04,2,1,00:00:00,00:00:53,4
20210105_04,2,1,00:00:53,00:00:55,5
20210105_04,2,1,00:00:55,00:08:10,4
20210105_04,2,1,00:08:10,00:08:24,5
20210105_04,2,1,00:08:24,00:08:48,4
20210105_04,2,1,00:08:48,00:09:41,5
20210105_04,2,1,00:09:41,00:15:30,4
20210105_04,2,1,00:15:30,00:16:22,3
20210105_04,2,2,00:00:00,00:16:22,5
20210105_04,2,3,00:00:00,00:10:15,5
20210105_04,2,3,00:10:15,00:10:41,4
20210105_04,2,3,00:10:41,00:16:22,5
20210105_05,5,1,00:00:00,00:00:25,5
20210105_05,5,1,00:00:25,00:08:01,4
20210105_05,5,1,00:08:01,00:08:45,3
20210105_05,5,1,00:08:45,00:10:01,4
20210105_05,5,1,00:10:01,00:10:02,5
20210105_05,5,1,00:10:02,00:13:02,4
20210105_05,5,1,00:13:02,00:13:03,5
20210105_05,5,1,00:13:03,00:13:18,4
20210105_05,5,1,00:13:18,00:13:28,3
20210105_05,5,1,00:13:28,00:14:04,4
20210105_05,5,1,00:14:04,00:16:35,5
20210105_05,5,2,00:00:00,00:13:21,5
20210105_05,5,2,00:13:21,00:13:28,4
20210105_05,5,2,00:13:28,00:16:35,5
20210105_05,5,3,00:00:00,00:05:40,5
20210105_05,5,3,00:05:40,00:08:01,4
20210105_05,5,3,00:08:01,00:08:45,3
20210105_05,5,3,00:08:45,00:09:51,4
20210105_05,5,3,00:09:51,00:16:35,5
20210105_06,7,1,00:00:00,00:02:13,5
20210105_06,7,1,00:02:13,00:02:35,4
20210105_06,7,1,00:02:35,00:03:39,5
20210105_06,7,1,00:03:39,00:06:53,3
20210105_06,7,1,00:06:53,00:09:16,4
20210105_06,7,2,00:00:00,00:09:16,5
20210105_06,7,3,00:00:00,00:03:39,5
20210105_06,7,3,00:03:39,00:05:14,4
20210105_06,7,3,00:05:14,00:07:44,5
20210105_06,7,3,00:07:44,00:07:58,4
20210105_06,7,3,00:07:58,00:09:16,5
20210105_07,8,1,00:00:00,00:02:30,4
20210105_07,8,1,00:02:30,00:02:34,5
20210105_07,8,1,00:02:34,00:06:42,3
20210105_07,8,1,00:06:42,00:08:27,4
20210105_07,8,2,00:00:00,00:05:44,5
20210105_07,8,2,00:05:44,00:06:03,4
20210105_07,8,2,00:06:03,00:08:27,5
20210105_07,8,3,00:00:00,00:04:51,5
20210105_07,8,3,00:04:51,00:06:42,4
20210105_07,8,3,00:06:42,00:08:27,5
20210105_08,15,1,00:00:00,00:11:43,4
20210105_08,15,2,00:00:00,00:04:53,5
20210105_08,15,2,00:04:53,00:04:47,4
20210105_08,15,2,00:04:47,00:11:43,5
20210105_08,15,3,00:00:00,00:06:45,4
20210105_08,15,3,00:06:45,00:09:23,3
20210105_08,15,3,00:09:23,00:11:43,4
20210105_09,16,1,00:00:00,00:00:27,4
20210105_09,16,1,00:00:27,00:00:34,5
20210105_09,16,1,00:00:34,00:01:17,3
20210105_09,16,1,00:01:17,00:01:20,5
20210105_09,16,1,00:01:20,00:01:30,4
20210105_09,16,1,00:01:30,00:01:33,5
20210105_09,16,1,00:01:33,00:01:52,4
20210105_09,16,1,00:01:52,00:01:55,5
20210105_09,16,1,00:01:55,00:02:39,3
20210105_09,16,1,00:02:39,00:02:42,5
20210105_09,16,1,00:02:42,00:03:26,3
20210105_09,16,1,00:03:26,00:03:28,5
20210105_09,16,1,00:03:28,00:03:40,4
20210105_09,16,1,00:03:40,00:04:28,3
20210105_09,16,1,00:04:28,00:04:31,5
20210105_09,16,1,00:04:31,00:05:04,4
20210105_09,16,1,00:05:04,00:05:53,3
20210105_09,16,1,00:05:53,00:05:55,5
20210105_09,16,1,00:05:55,00:06:08,3
20210105_09,16,2,00:00:00,00:02:48,5
20210105_09,16,2,00:02:48,00:03:25,3
20210105_09,16,2,00:03:25,00:05:03,5
20210105_09,16,2,00:05:03,00:05:30,3
20210105_09,16,2,00:05:30,00:06:08,5
20210105_09,16,3,00:00:00,00:00:27,4
20210105_09,16,3,00:00:27,00:00:34,5
20210105_09,16,3,00:00:34,00:02:48,4
20210105_09,16,3,00:02:48,00:03:25,3
20210105_09,16,3,00:03:25,00:03:45,5
20210105_09,16,3,00:03:45,00:04:09,3
20210105_09,16,3,00:04:09,00:05:02,4
20210105_09,16,3,00:05:02,00:05:34,3
20210105_09,16,3,00:05:34,00:06:00,4
20210105_09,16,3,00:06:00,00:06:08,3
20210105_10,10,1,00:00:00,00:01:10,5
20210105_10,10,1,00:01:10,00:01:25,4
20210105_10,10,1,00:01:25,00:01:31,3
20210105_10,10,1,00:01:31,00:01:58,4
20210105_10,10,1,00:01:58,00:03:43,5
20210105_10,10,1,00:03:43,00:04:11,3
20210105_10,10,1,00:04:11,00:04:15,4
20210105_10,10,1,00:04:15,00:04:20,5
20210105_10,10,1,00:04:20,00:04:44,4
20210105_10,10,1,00:04:44,00:04:46,5
20210105_10,10,1,00:04:46,00:05:04,3
20210105_10,10,1,00:05:04,00:05:11,5
20210105_10,10,1,00:05:11,00:05:31,4
20210105_10,10,1,00:05:31,00:05:41,5
20210105_10,10,1,00:05:41,00:06:58,4
20210105_10,10,1,00:06:58,00:07:01,5
20210105_10,10,1,00:07:01,00:08:57,4
20210105_10,10,1,00:08:57,00:10:30,3
20210105_10,10,1,00:10:30,00:12:04,4
20210105_10,10,1,00:12:04,00:13:04,3
20210105_10,10,1,00:13:04,00:13:12,4
20210105_10,10,1,00:13:12,00:14:37,3
20210105_10,10,1,00:14:37,00:14:43,5
20210105_10,10,1,00:14:43,00:15:19,3
20210105_10,10,1,00:15:19,00:16:40,4
20210105_10,10,1,00:16:40,00:18:00,3
20210105_10,10,1,00:18:00,00:18:06,4
20210105_10,10,1,00:18:06,00:20:02,3
20210105_10,10,1,00:20:02,00:20:05,4
20210105_10,10,1,00:20:05,00:20:10,5
20210105_10,10,1,00:20:10,00:20:21,3
20210105_10,10,1,00:20:21,00:20:25,5
20210105_10,10,1,00:20:25,00:20:33,3
20210105_10,10,1,00:20:33,00:20:35,5
20210105_10,10,1,00:20:35,00:20:48,3
20210105_10,10,1,00:20:48,00:20:51,4
20210105_10,10,1,00:20:51,00:21:46,3
20210105_10,10,1,00:21:46,00:21:56,4
20210105_10,10,2,00:00:00,00:03:43,5
20210105_10,10,2,00:03:43,00:04:11,4
20210105_10,10,2,00:04:11,00:04:53,5
20210105_10,10,2,00:04:53,00:05:04,4
20210105_10,10,2,00:05:04,00:14:15,5
20210105_10,10,2,00:14:15,00:14:37,4
20210105_10,10,2,00:14:37,00:16:40,5
20210105_10,10,2,00:16:40,00:17:48,4
20210105_10,10,2,00:17:48,00:18:35,5
20210105_10,10,2,00:18:35,00:18:58,4
20210105_10,10,2,00:18:58,00:21:56,5
20210105_10,10,3,00:00:00,00:01:25,5
20210105_10,10,3,00:01:25,00:01:31,3
20210105_10,10,3,00:01:31,00:03:43,5
20210105_10,10,3,00:03:43,00:04:11,4
20210105_10,10,3,00:04:11,00:04:53,5
20210105_10,10,3,00:04:53,00:05:04,4
20210105_10,10,3,00:05:04,00:08:57,5
20210105_10,10,3,00:08:57,00:10:30,4
20210105_10,10,3,00:10:30,00:12:04,5
20210105_10,10,3,00:12:04,00:13:04,4
20210105_10,10,3,00:13:04,00:13:12,5
20210105_10,10,3,00:13:12,00:14:37,4
20210105_10,10,3,00:14:37,00:14:43,5
20210105_10,10,3,00:14:43,00:15:19,3
20210105_10,10,3,00:15:19,00:20:02,4
20210105_10,10,3,00:20:02,00:20:10,5
20210105_10,10,3,00:20:10,00:21:46,4
20210105_10,10,3,00:21:46,00:21:56,5
20210105_11,11,1,00:00:00,00:00:15,4
20210105_11,11,1,00:00:15,00:00:20,5
20210105_11,11,1,00:00:20,00:00:46,4
20210105_11,11,1,00:00:46,00:00:52,5
20210105_11,11,1,00:00:52,00:02:06,4
20210105_11,11,1,00:02:06,00:02:10,5
20210105_11,11,1,00:02:10,00:02:26,4
20210105_11,11,1,00:02:26,00:03:15,5
20210105_11,11,1,00:03:15,00:03:41,3
20210105_11,11,1,00:03:41,00:04:08,4
20210105_11,11,1,00:04:08,00:04:10,5
20210105_11,11,1,00:04:10,00:06:30,3
20210105_11,11,1,00:06:30,00:08:45,4
20210105_11,11,1,00:08:45,00:08:49,5
20210105_11,11,1,00:08:49,00:09:10,4
20210105_11,11,1,00:09:10,00:09:14,5
20210105_11,11,1,00:09:14,00:09:20,4
20210105_11,11,1,00:09:20,00:09:23,5
20210105_11,11,1,00:09:23,00:09:23,4
20210105_11,11,2,00:00:00,00:09:29,5
20210105_11,11,3,00:00:00,00:00:12,5
20210105_11,11,3,00:00:12,00:01:00,4
20210105_11,11,3,00:01:00,00:01:36,5
20210105_11,11,3,00:01:36,00:02:20,4
20210105_11,11,3,00:02:20,00:05:20,5
20210105_11,11,3,00:05:20,00:05:30,3
20210105_11,11,3,00:05:30,00:06:30,4
20210105_11,11,3,00:06:30,00:09:25,5
20210105_11,11,3,00:09:25,00:09:29,3
20210105_12,14,1,00:00:00,00:05:44,4
20210105_12,14,2,00:00:00,00:05:44,5
20210105_12,14,3,00:00:00,00:05:44,5
20210105_13,12,1,00:00:00,00:03:54,4
20210105_13,12,2,00:00:00,00:03:54,5
20210105_13,12,3,00:00:00,00:03:54,4
20210105_14,13,1,00:00:00,00:00:59,3
20210105_14,13,1,00:00:59,00:01:37,5
20210105_14,13,1,00:01:37,00:02:39,3
20210105_14,13,1,00:02:39,00:03:10,4
20210105_14,13,1,00:03:10,00:03:25,5
20210105_14,13,1,00:03:25,00:03:40,4
20210105_14,13,1,00:03:40,00:03:45,5
20210105_14,13,1,00:03:45,00:04:18,4
20210105_14,13,2,00:00:00,00:00:59,4
20210105_14,13,2,00:00:59,00:01:37,5
20210105_14,13,2,00:01:37,00:03:10,4
20210105_14,13,2,00:03:10,00:03:25,5
20210105_14,13,2,00:03:25,00:04:18,4
20210105_14,13,3,00:00:00,00:00:30,3
20210105_14,13,3,00:00:30,00:01:02,4
20210105_14,13,3,00:01:02,00:02:20,5
20210105_14,13,3,00:02:20,00:03:40,4
20210105_14,13,3,00:03:40,00:03:45,5
20210105_14,13,3,00:03:45,00:04:18,4
