session,id,scale,begin,end,score
20201229_01,1,1,00:00:00,00:02:12,3
20201229_01,1,1,00:02:12,00:02:28,4
20201229_01,1,1,00:02:28,00:02:44,5
20201229_01,1,1,00:02:44,00:10:53,4
20201229_01,1,1,00:10:53,00:11:16,3
20201229_01,1,2,00:00:00,00:04:55,4
20201229_01,1,2,00:04:55,00:06:28,3
20201229_01,1,2,00:06:28,00:11:16,4
20201229_01,1,3,00:00:00,00:11:16,4
20201229_02,3,1,00:00:00,00:00:24,4
20201229_02,3,1,00:00:24,00:00:38,5
20201229_02,3,1,00:00:38,00:03:33,3
20201229_02,3,1,00:03:33,00:09:27,4
20201229_02,3,1,00:09:27,00:11:04,3
20201229_02,3,1,00:11:04,00:13:17,4
20201229_02,3,2,00:00:00,00:00:39,4
20201229_02,3,2,00:00:39,00:01:26,3
20201229_02,3,2,00:01:26,00:04:13,4
20201229_02,3,2,00:04:13,00:04:56,2
20201229_02,3,2,00:04:56,00:13:17,4
20201229_02,3,3,00:00:00,00:13:17,4
20201229_03,15,1,00:00:00,00:00:16,2
20201229_03,15,1,00:00:16,00:01:01,3
20201229_03,15,1,00:01:01,00:02:42,2
20201229_03,15,1,00:02:42,00:03:17,4
20201229_03,15,1,00:03:17,00:07:39,1
20201229_03,15,1,00:07:39,00:09:16,3
20201229_03,15,1,00:09:16,00:17:25,4
20201229_03,15,1,00:17:25,00:36:43,2
20201229_03,15,2,00:00:00,00:01:01,3
20201229_03,15,2,00:01:01,00:02:42,2
20201229_03,15,2,00:02:42,00:03:16,4
20201229_03,15,2,00:03:16,00:07:39,2
20201229_03,15,2,00:07:39,00:09:16,3
20201229_03,15,2,00:09:16,00:36:43,2
20201229_03,15,3,00:00:00,00:36:43,3
20201229_04,4,1,00:00:00,00:02:18,3
20201229_04,4,1,00:02:18,00:02:52,1
20201229_04,4,1,00:02:52,00:07:42,3
20201229_04,4,2,00:00:00,00:01:34,3
20201229_04,4,2,00:01:34,00:01:45,2
20201229_04,4,2,00:01:45,00:07:42,3
20201229_04,4,3,00:00:00,00:06:18,3
20201229_04,4,3,00:06:18,00:07:42,2
20201229_05,5,1,00:00:00,00:04:06,4
20201229_05,5,1,00:04:06,00:05:19,5
20201229_05,5,1,00:05:19,00:10:44,4
20201229_05,5,1,00:10:44,00:12:08,3
20201229_05,5,1,00:12:08,00:12:36,4
20201229_05,5,1,00:12:36,00:13:04,3
20201229_05,5,1,00:13:04,00:13:15,3
20201229_05,5,1,00:13:15,00:13:55,4
20201229_05,5,1,00:13:55,00:14:15,3
20201229_05,5,2,00:00:00,00:10:12,4
20201229_05,5,2,00:10:12,00:10:56,3
20201229_05,5,2,00:10:56,00:14:15,3
20201229_05,5,3,00:00:00,00:11:57,4
20201229_05,5,3,00:11:57,00:12:10,4
20201229_05,5,3,00:12:10,00:13:06,3
20201229_05,5,3,00:13:06,00:13:15,4
20201229_05,5,3,00:13:15,00:13:55,3
20201229_05,5,3,00:13:55,00:14:15,1
20201229_06,8,1,00:00:00,00:01:11,3
20201229_06,8,1,00:01:11,00:01:46,2
20201229_06,8,1,00:01:46,00:06:14,3
20201229_06,8,1,00:06:14,00:11:19,2
20201229_06,8,1,00:11:19,00:13:15,3
20201229_06,8,2,00:00:00,00:03:13,3
20201229_06,8,2,00:03:13,00:03:26,2
20201229_06,8,2,00:03:26,00:04:03,3
20201229_06,8,2,00:04:03,00:04:36,2
20201229_06,8,2,00:04:36,00:05:52,3
20201229_06,8,2,00:05:52,00:07:14,2
20201229_06,8,2,00:07:14,00:13:15,3
20201229_06,8,3,00:00:00,00:13:15,3
