20201229_01,1,0.5,0.75,0.75,0.6667
20201229_01,2,0.5,0.75,0.75,0.6667
20201229_01,3,0.5,0.75,0.75,0.6667
20201229_01,4,0.5,0.75,0.75,0.6667
20201229_01,5,0.5,0.75,0.75,0.6667
20201229_01,6,0.5,0.75,0.75,0.6667
20201229_01,7,0.5,0.75,0.75,0.6667
20201229_01,8,0.5,0.75,0.75,0.6667
20201229_01,9,0.5,0.75,0.75,0.6667
20201229_01,10,0.5,0.75,0.75,0.6667
20201229_01,11,0.5,0.75,0.75,0.6667
20201229_01,12,0.5,0.75,0.75,0.6667
20201229_01,13,0.6562,0.75,0.75,0.7188
20201229_01,14,0.7812,0.75,0.75,0.7604
20201229_01,15,1,0.75,0.75,0.8333
20201229_01,16,0.8438,0.75,0.75,0.7812
20201229_01,17,0.75,0.75,0.75,0.75
20201229_01,18,0.75,0.75,0.75,0.75
20201229_01,19,0.75,0.75,0.75,0.75
20201229_01,20,0.75,0.75,0.75,0.75
20201229_01,21,0.75,0.75,0.75,0.75
20201229_01,22,0.75,0.75,0.75,0.75
20201229_01,23,0.75,0.75,0.75,0.75
20201229_01,24,0.75,0.75,0.75,0.75
20201229_01,25,0.75,0.75,0.75,0.75
20201229_01,26,0.75,0.75,0.75,0.75
20201229_01,27,0.75,0.75,0.75,0.75
20201229_01,28,0.75,0.6641,0.75,0.7214
20201229_01,29,0.75,0.5,0.75,0.6667
20201229_01,30,0.75,0.5,0.75,0.6667
20201229_01,31,0.75,0.5,0.75,0.6667
20201229_01,32,0.75,0.5,0.75,0.6667
20201229_01,33,0.75,0.5,0.75,0.6667
20201229_01,34,0.75,0.5,0.75,0.6667
20201229_01,35,0.75,0.5,0.75,0.6667
20201229_01,36,0.75,0.5,0.75,0.6667
20201229_01,37,0.75,0.6563,0.75,0.7188
20201229_01,38,0.75,0.75,0.75,0.75
20201229_01,39,0.75,0.75,0.75,0.75
20201229_01,40,0.75,0.75,0.75,0.75
20201229_01,41,0.75,0.75,0.75,0.75
20201229_01,42,0.75,0.75,0.75,0.75
20201229_01,43,0.75,0.75,0.75,0.75
20201229_01,44,0.75,0.75,0.75,0.75
20201229_01,45,0.75,0.75,0.75,0.75
20201229_01,46,0.75,0.75,0.75,0.75
20201229_01,47,0.75,0.75,0.75,0.75
